(1) GlymaID from Gmax version 2.0. Only primary predicted proteins were included in analyses. For more information on Gmax2.0 cDNAs see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(2) Top Uniref100 BLASTP Hit. Match determined via BLASTP of Gmax2.0 primary proteins against Uniref100 (version 03/27/2014). E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(3) Top Descriptive Uniref100 BLASTP Hit. The BLAST report generated above (2) was parsed to eliminate uninformative hits.  Hits including the words uncharacterized, putative, related, predicted, orf, expressed or containing Arabidopsis or Rice gene identifiers (AtXgXXXXX, OsXXgXXXXX) were ignored. E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(4) Top Arabidopsis (TAIR10) BLASTP Hit (4). Match determined via BLASTP of Gmax2.0 primary proteins against Arabidopsis thaliana proteins (TAIR10). For additional details see www.arabidopsis.org. E-value for the top high scoring pair(HSP) is indicated. Percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(5) Gene Ontology Biological Process IDs. GO Biological Process IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(6) Gene Ontology Molecular Function IDs. GO Molecular Function IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v. 10 (03/27/14). Descriptions for the GO terms are also provided.
(7) Gene Ontology Cellular Component IDs. GO Cellular Component IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(8) PFAM IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(9) PANTHER IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(10) KOG IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.

Gmax 2.0 Primary Protein ID (1)	Protein Length (AA)	Top Uniref100 BLASTP Hit (2)	E-value (E<10-6)	% Coverage	Top Descriptive Uniref100 BLASTP Hit (3)	E-value (E<10-6)	% Coverage	Top Arabidopsis (TAIR10) BLASTP Hit (4)	E-value (E<10-6)	Coverage	Gene Ontology Biological Process IDs (5)	Gene Ontology Biological Process Descriptions	Gene Ontology Molecular Function IDs (6)	Gene Ontology Molecular Function Descriptions	Gene Ontology Cellular Component IDs (7)	Gene Ontology Cellular Component Descriptions	PFAM IDs (8)	PFAM_Descriptions	Panther IDs (9)	Panther_Descriptions	KOG IDs (10)	KOG_Desctiptions
Glyma.01G000100	105	UniRef100_K7KDM3 Uncharacterized protein n=1 Tax=Glycine max RepID=K7KDM3_SOYBN	1.00E-67	100	UniRef100_Q15KI9 Protein PHYLLO, chloroplastic n=1 Tax=Arabidopsis thaliana RepID=PHYLO_ARATH	4.00E-13	5.13	AT1G68890.1|Symbols:|magnesium ion binding;thiamin pyrophosphate binding;hydro-lyases;catalytics;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthases|chr1:25896988-25906553 FORWARD LENGTH=1715	5.00E-16	5.13	GO:0009063 GO:0009234 GO:0042372 GO:0042550	cellular amino acid catabolic process; menaquinone biosynthetic process; photosystem I stabilization; phylloquinone biosynthetic process	GO:0000287 GO:0003824 GO:0016836 GO:0030976 GO:0070204	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity; catalytic activity; hydro-lyase activity; magnesium ion binding; thiamine pyrophosphate binding	GO:0005739	mitochondrion	NA	NA	NA	NA	NA	NA	
Glyma.01G000200	95	UniRef100_K7K100 Uncharacterized protein (Fragment) n=1 Tax=Glycine max RepID=K7K100_SOYBN	6.00E-09	14.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G000300	129	UniRef100_K7LAZ3 Uncharacterized protein n=1 Tax=Glycine max RepID=K7LAZ3_SOYBN	4.00E-08	36.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G000400	549	UniRef100_I1J490 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J490_SOYBN	0	100	UniRef100_B9HPM0 Far-red impaired responsive family protein n=1 Tax=Populus trichocarpa RepID=B9HPM0_POPTR	0	72.97	AT4G38170.1|Symbols:FRS9|FAR1-related sequence 9|chr4:17904613-17906439 FORWARD LENGTH=545	0	97.98	GO:0009639	response to red or far red light	GO:0008270	zinc ion binding	GO:0005634	nucleus	PF04434 PF10551	SWIM zinc finger; MULE transposase domain	NA	NA	NA	NA	
Glyma.01G000500	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G000600	814	UniRef100_K7K103 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K103_SOYBN	0	92.91	UniRef100_B9HPM0 Far-red impaired responsive family protein n=1 Tax=Populus trichocarpa RepID=B9HPM0_POPTR	0	94.67	AT4G38180.1|Symbols:FRS5|FAR1-related sequence 5|chr4:17906702-17909404 REVERSE LENGTH=788	0	87.44	GO:0009639	response to red or far red light	GO:0008270	zinc ion binding	GO:0005634	nucleus	PF10551 PF03101 PF04434	MULE transposase domain; FAR1 DNA-binding domain; SWIM zinc finger	NA	NA	NA	NA	
Glyma.01G000700	213	UniRef100_K7K104 Uncharacterized protein n=2 Tax=Glycine max RepID=K7K104_SOYBN	2.00E-153	100	NA	NA	NA	AT5G58100.1|Symbols:|unknown protein; INVOLVED IN: pollen exine formation; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G28720.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).|chr5:23507828-23514863 FORWARD LENGTH=945	2.00E-77	21.48	GO:0010584	pollen exine formation	NA	NA	GO:0005739 GO:0005783 GO:0005794	Golgi apparatus; endoplasmic reticulum; mitochondrion	NA	NA	NA	NA	NA	NA	
Glyma.01G000800	224	UniRef100_K7K105 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K105_SOYBN	3.00E-160	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	NA	NA	NA	NA	
Glyma.01G000900	764	UniRef100_I1J495 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J495_SOYBN	0	100	NA	NA	NA	AT5G58100.1|Symbols:|unknown protein; INVOLVED IN: pollen exine formation; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G28720.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).|chr5:23507828-23514863 FORWARD LENGTH=945	0	78.41	GO:0010584	pollen exine formation	NA	NA	GO:0005739 GO:0005783 GO:0005794	Golgi apparatus; endoplasmic reticulum; mitochondrion	NA	NA	NA	NA	NA	NA	
Glyma.01G001000	207	UniRef100_I1J496 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J496_SOYBN	2.00E-149	100	UniRef100_D2E9R5 Activator of 90 kDa heat shock protein ATPase n=1 Tax=Dactylis glomerata RepID=D2E9R5_DACGL	4.00E-73	89.2	AT5G58110.1|Symbols:|chaperone binding;ATPase activators|chr5:23515275-23516479 FORWARD LENGTH=196	2.00E-78	100.51	NA	NA	GO:0001671 GO:0051087	ATPase activator activity; chaperone binding	GO:0005737	cytoplasm	PF09229	Activator of Hsp90 ATPase, N-terminal	PTHR13009	HEAT SHOCK PROTEIN 90 (HSP90) CO-CHAPERONE AHA-1	NA	NA	
